customer_id,first_name,last_name,customer_type,customer_since_date,home_branch_id,state,active_flag
C10001,Isaac,Hall,Consumer,2003-01-22,B008,ID,Y
C10002,Ezra,Chen,Consumer,2019-02-22,B006,WA,Y
C10003,Luna,Anderson,Consumer,2013-03-05,B009,ID,Y
C10004,Alice,Nguyen,Consumer,1995-05-01,B005,WA,Y
C10005,Elena,Scott,Consumer,2006-03-23,B002,WA,Y
C10006,Chloe,Garcia,Consumer,1998-06-24,B006,WA,Y
C10007,Lucas,Davis,Consumer,2015-08-13,B006,WA,Y
C10008,Alice,Walker,Consumer,2021-02-02,B005,WA,Y
C10009,Chloe,Brooks,Consumer,2005-01-26,B008,ID,Y
C10010,Olivia,Nguyen,Consumer,2013-12-15,B007,WA,Y
C10011,Luna,Robinson,Consumer,2002-11-23,B009,ID,Y
C10012,Asher,Martin,Consumer,2007-08-29,B002,WA,Y
C10013,Owen,Patel,Business,2011-02-09,B003,WA,Y
C10014,Henry,Patel,Consumer,2026-02-09,B004,WA,Y
C10015,Maya,Thomas,Consumer,1994-11-12,B002,WA,Y
C10016,Evelyn,Johnson,Consumer,2001-03-04,B010,ID,Y
C10017,Mia,Hernandez,Consumer,2005-08-09,B005,WA,Y
C10018,Oliver,Wilson,Consumer,2000-10-15,B007,WA,Y
C10019,Levi,Davis,Consumer,2014-12-30,B004,WA,Y
C10020,Ruby,Garcia,Consumer,2004-09-28,B008,ID,Y
C10021,Noah,Kim,Business,2024-05-05,B002,WA,Y
C10022,Zoe,Sanchez,Consumer,2004-03-11,B002,WA,Y
C10023,Jack,Martinez,Consumer,2004-09-23,B001,WA,Y
C10024,Henry,Turner,Consumer,2017-06-16,B008,ID,Y
C10025,Ethan,White,Consumer,2014-04-04,B009,ID,Y
C10026,Mateo,Thompson,Consumer,2021-06-15,B006,WA,Y
C10027,Grace,Turner,Consumer,2024-09-18,B009,ID,Y
C10028,Leo,Brooks,Consumer,1998-04-23,B009,ID,Y
C10029,Jack,Chen,Consumer,2014-03-07,B005,WA,Y
C10030,Chloe,White,Consumer,2024-09-19,B005,WA,Y
C10031,Claire,Brooks,Consumer,1996-11-04,B004,WA,Y
C10032,Mateo,Davis,Consumer,2022-02-02,B006,WA,Y
C10033,Ethan,Hernandez,Business,2006-11-09,B004,WA,Y
C10034,Elena,Campbell,Consumer,2001-08-04,B007,WA,Y
C10035,Adrian,Campbell,Consumer,1999-01-25,B003,WA,Y
C10036,Elijah,Miller,Consumer,2006-02-02,B005,WA,Y
C10037,Ava,Garcia,Consumer,2007-10-05,B007,WA,Y
C10038,Camila,Diaz,Consumer,2008-01-19,B003,WA,Y
C10039,Chloe,Carter,Business,1994-11-16,B009,ID,N
C10040,Alice,Thomas,Consumer,2015-04-25,B004,WA,N
C10041,Caleb,Williams,Consumer,2019-06-28,B009,ID,Y
C10042,Miles,Scott,Consumer,2019-01-21,B004,WA,N
C10043,Julian,Thomas,Consumer,2004-07-23,B007,WA,Y
C10044,Mia,Martin,Consumer,2000-05-14,B008,ID,Y
C10045,James,Chen,Consumer,2020-03-30,B002,WA,Y
C10046,Ezra,Scott,Business,2021-02-28,B008,ID,Y
C10047,Noah,Hernandez,Business,2003-10-08,B002,WA,Y
C10048,Oliver,Kim,Consumer,1994-08-16,B002,WA,Y
C10049,Mateo,Lewis,Consumer,2024-01-14,B001,WA,Y
C10050,Asher,Hall,Consumer,2003-06-15,B003,WA,Y
C10051,Oliver,Lewis,Business,1999-06-25,B002,WA,Y
C10052,Lucas,Wilson,Consumer,2010-04-24,B010,ID,Y
C10053,Amelia,Carter,Consumer,2002-08-07,B009,ID,Y
C10054,Mateo,Robinson,Consumer,2021-01-03,B002,WA,Y
C10055,Leo,Robinson,Consumer,2022-07-17,B001,WA,Y
C10056,Ezra,Brooks,Consumer,2004-07-20,B001,WA,Y
C10057,Ava,Anderson,Consumer,1996-11-16,B002,WA,Y
C10058,Mia,Patel,Consumer,2001-07-05,B001,WA,Y
C10059,Jack,Nguyen,Consumer,2000-09-21,B004,WA,Y
C10060,Emma,Wright,Business,2005-09-09,B001,WA,Y
C10061,Henry,Reed,Consumer,2018-01-13,B006,WA,Y
C10062,Ezra,Davis,Consumer,2021-07-09,B005,WA,Y
C10063,Ruby,Carter,Consumer,2023-04-19,B005,WA,Y
C10064,Alice,Lewis,Consumer,2019-10-21,B001,WA,Y
C10065,Amelia,Young,Consumer,2013-08-17,B001,WA,Y
C10066,Caleb,Thompson,Consumer,2013-12-12,B003,WA,Y
C10067,Alice,Thomas,Consumer,2014-10-19,B003,WA,Y
C10068,Ethan,Wilson,Consumer,2011-11-29,B002,WA,Y
C10069,Zoe,Martin,Consumer,2021-12-04,B001,WA,Y
C10070,Asher,Lewis,Consumer,1995-03-27,B005,WA,Y
C10071,Caleb,Patel,Consumer,2010-12-21,B001,WA,Y
C10072,Elijah,Walker,Consumer,2025-08-07,B006,WA,Y
C10073,Henry,Rivera,Consumer,2018-11-12,B004,WA,Y
C10074,Mia,Hernandez,Consumer,1998-11-25,B005,WA,Y
C10075,James,White,Consumer,2021-10-11,B008,ID,Y
C10076,Olivia,Hernandez,Consumer,1999-08-17,B001,WA,Y
C10077,Liam,Kim,Consumer,2006-09-08,B006,WA,Y
C10078,Henry,Lee,Consumer,2013-12-25,B006,WA,N
C10079,Noah,Mitchell,Consumer,1994-12-15,B005,WA,Y
C10080,Jack,Mitchell,Consumer,1995-08-20,B008,ID,Y
C10081,James,Thompson,Consumer,2026-01-08,B001,WA,Y
C10082,Alice,Wilson,Consumer,2014-09-17,B003,WA,Y
C10083,Mia,Smith,Consumer,2013-06-27,B009,ID,Y
C10084,Adrian,Robinson,Consumer,1996-05-12,B007,WA,Y
C10085,James,Smith,Consumer,2002-01-08,B009,ID,Y
C10086,Jack,Walker,Consumer,2025-08-03,B010,ID,Y
